id_exp,seed,step,network_topology,population_size,nb_strg_arg,adding_cycle,population_with_added_arg,population_with_attacked_arg,polarisation,mean_intention,rate_adoption
5,0.12102242956410414,150,regular,100,1,50,1,82,0.02970517304419076,0.32550842668179447,0.29
4,0.5021955782306821,150,regular,100,1,50,100,0,0.029773586124590835,0.20014916143275813,0.26
6,0.6359738715854387,150,regular,100,1,50,100,2,0.023086737571169982,0.2311019483960375,0.31
7,0.9735700710045174,200,regular,100,1,50,97,3,0.03412473943877222,0.16754572894433514,0.24
6,0.6359738715854387,200,regular,100,1,50,100,2,0.0226912248217329,0.23416360676609102,0.31
4,0.5021955782306821,200,regular,100,1,50,100,0,0.028470114978306964,0.19927483354035824,0.26
5,0.12102242956410414,200,regular,100,1,50,1,85,0.03086155767553995,0.32597650154125174,0.29
4,0.5021955782306821,250,regular,100,1,50,100,0,0.029605415492843318,0.1975180701997183,0.26
6,0.6359738715854387,250,regular,100,1,50,100,2,0.023465904663706176,0.23447203303273903,0.31
7,0.9735700710045174,250,regular,100,1,50,97,3,0.03516827844251119,0.1675220818519564,0.24
5,0.12102242956410414,250,regular,100,1,50,1,85,0.0302907964166162,0.3279718654592084,0.29
6,0.6359738715854387,300,regular,100,1,50,100,2,0.022853218539668742,0.23271706348649718,0.31
7,0.9735700710045174,300,regular,100,1,50,97,3,0.0358659165377996,0.16515661711071852,0.25
4,0.5021955782306821,300,regular,100,1,50,100,0,0.029159038602571085,0.2001308185345884,0.26
5,0.12102242956410414,300,regular,100,1,50,2,86,0.02954502133587982,0.32470001116851754,0.3
7,0.9735700710045174,350,regular,100,1,50,97,3,0.0344458271470017,0.16850208069350361,0.25
5,0.12102242956410414,350,regular,100,1,50,2,87,0.02981873558839964,0.3228125655068527,0.31
6,0.6359738715854387,350,regular,100,1,50,100,2,0.02310700059038181,0.23375692242752386,0.31
4,0.5021955782306821,350,regular,100,1,50,100,0,0.031211072045917616,0.19269932090939929,0.26
7,0.9735700710045174,400,regular,100,1,50,97,3,0.03623782981292713,0.16934793247786473,0.26
4,0.5021955782306821,400,regular,100,1,50,100,0,0.0292735501330407,0.19850480116143132,0.26
6,0.6359738715854387,400,regular,100,1,50,100,2,0.022822670677844215,0.2327513686498661,0.31
5,0.12102242956410414,400,regular,100,1,50,2,84,0.03158060751950837,0.32127172160217954,0.31
6,0.6359738715854387,450,regular,100,1,50,100,2,0.022438545203812,0.23304475541478112,0.31
4,0.5021955782306821,450,regular,100,1,50,100,0,0.031002582243327765,0.20092547091135354,0.26
5,0.12102242956410414,450,regular,100,1,50,2,87,0.03069854654838114,0.3234628645508,0.31
7,0.9735700710045174,450,regular,100,1,50,97,3,0.03502217294180744,0.16902462197869553,0.26
6,0.6359738715854387,500,regular,100,1,50,100,2,0.022836262294003325,0.2333053017776835,0.31
7,0.9735700710045174,500,regular,100,1,50,97,3,0.033821353283417344,0.16844350751295092,0.26
5,0.12102242956410414,500,regular,100,1,50,2,85,0.029403413539967567,0.3223556223356283,0.32
4,0.5021955782306821,500,regular,100,1,50,100,0,0.02937340080755404,0.20110405891761304,0.26
6,0.6359738715854387,550,regular,100,1,50,100,2,0.021640954392999474,0.2336489352275073,0.31
7,0.9735700710045174,550,regular,100,1,50,97,3,0.03444397200093287,0.17013982600478822,0.26
5,0.12102242956410414,550,regular,100,1,50,2,89,0.031838693026478314,0.3253246655057882,0.32
4,0.5021955782306821,550,regular,100,1,50,100,0,0.030150579810066778,0.20125787034090659,0.26
4,0.5021955782306821,600,regular,100,1,50,100,0,0.02933229676316397,0.19984738770013255,0.26
6,0.6359738715854387,600,regular,100,1,50,100,2,0.02309470763086302,0.23439993557085267,0.31
5,0.12102242956410414,600,regular,100,1,50,2,88,0.03072985576814176,0.32409471373360993,0.32
7,0.9735700710045174,600,regular,100,1,50,97,3,0.03501654964346801,0.16847725001523373,0.26
4,0.5021955782306821,650,regular,100,1,50,100,0,0.02951311080654205,0.1994358687327577,0.26
6,0.6359738715854387,650,regular,100,1,50,100,2,0.022827000566353606,0.23446975703062137,0.31
